Mount,Obtainable,H/A/B,Location,Spell ID,Class
Blue Proto-Drake,Y,B,Skadi the Ruthless - Utgarde Pinnacle,59996,
Time-Lost Proto-Drake,Y,B,Time-Lost Proto-Drake - Stormpeaks,60002,
Green Proto-Drake,Y,B,Mysterious Egg/Satchel,61294,
Red Proto-Drake,Y,B,Glory of the Hero Acheivement,59961,
Violet Proto-Drake,Y,B,What a Long Strange Trip It's Been,60024,
Ironbound Proto-Drake,Y,B,Glory of the Ulduar Raider (25 man),63956,
Rusted Proto-Drake,Y,B,Glory of the Ulduar Raider (10 man),63963,
Icebound Frostbrood Vanquisher,Y,B,Glory of the Icecrown Raider (25 man),72807,
Bloodbathed Frostbrood Vanquisher,Y,B,Glory of the Icecrown Raider (10 man),72808,
Sandstone Drake,Y,B,Alchemy,93326,
Experiment 12-B,Y,B,Ultraxion - Dragonsoul,110039,
Blazing Drake,Y,B,Madness of Deathwing - Dragonsoul,107842,
Twilight Harbinger,Y,B,Glory of the Dragonsoul Raider,107844,
Life-Binder's Handmaiden,Y,B,Deathwing - (10/25 H),107845,
Exarch's Elekk,Y,A,Paladin Trainer,73629,Paladin
Brown Elekk,Y,A,Vendor Torallius in The Exodar,34406,
Gray Elekk,Y,A,Vendor Torallius in The Exodar,35710,
Purple Elekk,Y,A,Vendor Torallius in The Exodar,35711,
Great Exarch's Elekk,Y,A,Paladin Trainer,73630,Paladin
Great Blue Elekk,Y,A,Vendor Torallius in The Exodar,35713,
Great Green Elekk,Y,A,Vendor Torallius in The Exodar,35712,
Great Purple Elekk,Y,A,Vendor Torallius in The Exodar,35714,
Black War Elekk,Y,A,4000 Honor - Stormwind vendor,48027,
Great Red Elekk,Y,A,Argent Tournament Tokens,65637,
Exodar Elekk,Y,A,Argent Tournament Tokens,63639,
Brown Riding Goat,Y,B,Tillers (faction),130086,
Black Riding Goat,Y,B,Tillers (faction),130138,
White Riding Goat,Y,B,Tillers (faction),130137,
Spectral Gryphon,Y,A,Scroll of Ressurection Promotion,107516,
Golden Gryphon,Y,A,Alliance Flying Mount vendor,32235,
Ebon Gryphon,Y,A,Alliance Flying Mount vendor,32239,
Snowy Gryphon,Y,A,Alliance Flying Mount vendor,32240,
Swift Blue Gryphon,Y,A,Alliance Flying Mount vendor,32242,
Swift Green Gryphon,Y,A,Alliance Flying Mount vendor,32290,
Swift Purple Gryphon,Y,A,Alliance Flying Mount vendor,32292,
Swift Red Gryphon,Y,A,Alliance Flying Mount vendor,32289,
Armored Snowy Gryphon,Y,A,Mei Francis in Dalaran,61229,
Grand Gryphon,Y,A,End of Operation Shieldwall questline,136163,
Grand Armored Gryphon,Y,A,Op: Shieldwall (faction),135416,
Red Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,34795,
Black Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,35022,
Blue Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,35020,
Purple Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,35018,
Swift Pink Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,33660,
Swift Warstrider,Y,H,2k HP PVP Vendor in Orgrimmar,35028,
Swift Green Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,35025,
Swift Purple Hawkstrider,Y,H,Vendor Winaestra in Silvermoon City,35027,
Swift White Hawkstrider,Y,B,Kael'thas - Magister's Terrace (5 man),46628,
Sunreaver Hawkstrider,Y,H,Argent Tournament Tokens,66091,
Swift Red Hawkstrider,Y,H,Argent Tournament Tokens,65639,
Silvermoon Hawkstrider,Y,H,Argent Tournament Tokens,63642,
Blazing Hippogryph,Y,B,Trading Card Game,74856,
Corrupted Hippogryph,Y,B,Trading Card Game,102514,
Argent Hippogryph,Y,A,Argent Tournament Tokens,63844,
Cenarion War Hippogryph,Y,B,Cenarion Expedition Rep,43927,
Silver Covenant Hippogryph,Y,A,Argent Tournament Tokens,66087,
Flameward Hippogryph,Y,B,Molten Front Offensive Meta Achievement,97359,
Mountain Horse,Y,A,Worgen Vendor in Darnassus,103195,
Black Stallion,Y,A,Mount vendor in Stormwind,470,
Brown Horse,Y,A,Mount vendor in Stormwind,458,
Chestnut Mare,Y,A,Mount vendor in Stormwind,6648,
Pinto,Y,A,Mount vendor in Stormwind,472,
Warhorse,Y,A,Paladin Trainer,13819,Paladin
Thalassian Warhorse,Y,H,Paladin Trainer,34769,Paladin
Ghastly Charger,Y,B,Trading Card Game,136505,
Tyrael's Charger,N,B,Annual Pass Promotion,107203,
Vicious War Steed,Y,A,Win 75 Random Battlegrounds,100332,
Swift Mountain Horse,Y,A,Worgen vendor in Darnassus,103196,
Swift Palomino,Y,A,Mount vendor in Stormwind,23227,
Black War Steed,Y,A,2k HP PVP Vendor in Stormwind,22717,
Swift Brown Steed,Y,A,Mount vendor in Stormwind,23229,
Swift White Steed,Y,A,Mount vendor in Stormwind,23228,
Charger,Y,A,Paladin Trainer,23214,Paladin
Swift Gray Steed,Y,A,Argent Tournament Tokens,65640,
Argent Charger,Y,B,Argent Tournament Tokens,66906,Paladin
Stormwind Steed,Y,A,Argent Tournament Tokens,63232,
Argent Warhorse,Y,A,Argent Tournament Tokens,67466,
Thalassian Charger,Y,H,Paladin Trainer,34767,Paladin
Quel'dorei Steed,Y,A,Argent Tournament Tokens,66090,
Spectral Steed,Y,A,Tol Barad Commendations,92231,
Kor'kron Annihilator,Y,H,Guild Vendor,93644,
Amber Scorpion,Y,B,Klaxxi (faction),123886,
Azure Water Strider,Y,B,Anglers (faction),118089,
Gray Kodo,Y,H,Vendor Harb in Mulgore,18989,
White Kodo,Y,H,Vendor Harb in Mulgore,64657,
Brown Kodo,Y,H,Vendor Harb in Mulgore,18990,
Sunwalker Kodo,Y,H,Paladin Trainer,69820,Paladin
Black War Kodo,Y,H,Orgimmar PVP Vendor Honour points,22718,
Great White Kodo,Y,H,Vendor Harb in Mulgore,23247,
Great Brewfest Kodo,Y,B,Coren Direbrew during Brewfest,49379,
Great Sunwalker Kodo,Y,H,Paladin Trainer,69826,Paladin
Great Gray Kodo,Y,H,Vendor Harb in Mulgore,23248,
Great Brown Kodo,Y,H,Vendor Harb in Mulgore,23249,
Great Golden Kodo,Y,H,Argent Tournament Tokens,65641,
Thunder Bluff Kodo,Y,H,Argent Tournament Tokens,63641,
Wooly White Rhino,Y,B,Trading Card Game,74918,
Goblin Trike,Y,H,Vendor Kall in Orgrimmar,87090,
X-51 Nether-Rocket X-TREME,Y,B,Trading Card Game,46199,
Depleted-Kyparium Rocket,Y,B,Engineering Craft,126507,
Geosynchronous World Spinner,Y,B,Engineering Craft,126508,
X-51 Nether-Rocket,Y,B,Trading Card Game,46197,
Big Love Rocket,Y,B,Love is in the Air boss,71342,
Goblin Turbo-Trike,Y,H,Vendor Kall in Orgrimmar,87091,
Mekgineer's Chopper,Y,A,Engineering,60424,
Mechano-Hog,Y,H,Engineering,55531,
Red Flying Cloud,Y,B,Lorewalkers Rep,130092,
Flying Carpet,Y,B,Tailoring (Tailor only),61451,
Flying Machine,Y,B,Engineering (Engineer only),44153,
Magnificent Flying Carpet,Y,B,Tailoring (Tailor only),61309,
Frosty Flying Carpet,Y,B,Tailoring (Tailor only),75596,
Turbo-Charged Flying Machine,Y,B,Engineering (Engineer only),44151,
Mimiron's Head,Y,B,Yogg-Saron (No Lights) - Ulduar (25),63796,
Pandaren Kite,Y,A,Pandaren Ambassador Achievement,130985,
Jade Pandaren Kite,Y,B,150 Mount Achievement,133023,
Pandaren Kite,Y,H,Pandaren Ambassador Achievement,118737,
Sky Golem,Y,B,Engineering,134359,
Black War Mammoth,Y,A,Wintergrasp Honor Vendor,59785,
Grand Black War Mammoth,Y,A,Vault of Archavon Bosses,61465,
Black War Mammoth,Y,H,Wintergrasp Honor Vendor,59788,
Grand Black War Mammoth,Y,H,Vault of Archavon Bosses,61467,
Wooly Mammoth,Y,A,Mei Francis in Dalaran,59791,
Traveler's Tundra Mammoth,Y,A,Mei Francis in Dalaran,61425,
Wooly Mammoth,Y,H,Mei Francis in Dalaran,59793,
Traveler's Tundra Mammoth,Y,H,Mei Francis in Dalaran,61447,
Ice Mammoth,Y,A,Sons of Hodir (faction),59799,
Grand Ice Mammoth,Y,A,Sons of Hodir (faction),61470,
Ice Mammoth,Y,H,Sons of Hodir (faction),59797,
Unpainted Mechanostrider,Y,A,Vendor Milli in Dun Morogh,17454,
Grand Ice Mammoth,Y,H,Sons of Hodir (faction),61469,
Blue Mechanostrider,Y,A,Vendor Milli in Dun Morogh,10969,
Red Mechanostrider,Y,A,Vendor Milli in Dun Morogh,10873,
Green Mechanostrider,Y,A,Vendor Milli in Dun Morogh,17453,
Black Battlestrider,Y,A,PVP Vendor in SW,22719,
Swift Green Mechanostrider,Y,A,Vendor Milli in Dun Morogh,23225,
Turbostrider,Y,A,Argent Tournament Tokens,65642,
Swift White Mechanostrider,Y,A,Vendor Milli in Dun Morogh,23223,
Swift Yellow Mechanostrider,Y,A,Vendor Milli in Dun Morogh,23222,
Gnomeregan Mechanostrider,Y,A,Argent Tournament Tokens,63638,
Celestial Steed,Y,B,Blizzard Store,75614,
Heart of the Aspects,Y,B,Blizzard Store,110051,
Armored Bloodwing,Y,B,Blizzard Store,139595,
Swift Windsteed,Y,B,Blizzard Store,134573,
Invincible,Y,B,Lich King (25 H),72286,
Winged Guardian,Y,B,Blizzard Store,98727,
Son of Galleon,Y,B,Galleon - Valley of the Four Winds,130965,
Brawler's Burly Mushan Beast,Y,B,Rank 10 Brawler's guild,142641,
Purple Riding Nether Ray,Y,B,Sha'tari Skyguard (faction),39801,
Green Riding Nether Ray,Y,B,Sha'tari Skyguard (faction),39798,
Blue Riding Nether Ray,Y,B,Sha'tari Skyguard (faction),39803,
Silver Riding Nether Ray,Y,B,Sha'tari Skyguard (faction),39802,
Red Riding Nether Ray,Y,B,Sha'tari Skyguard (faction),39800,
Dark Phoenix,Y,B,Guild Vendor,88990,
Corrupted Fire Hawk,Y,B,Glory of the Firelands Raider,97560,
Pureblood Fire Hawk,Y,B,Ragnaros in Firelands,97493,
Ashes of Al'ar,Y,B,Kael'thas - Tempest Keep,40192,
Emerald Pandaren Phoenix,Y,B,Challenge Mode - Silver,132118,
Ashen Pandaren Phoenix,Y,B,Challenge Mode - Silver,132117,
Violet Pandaren Phoenix,Y,B,Challenge Mode - Silver,132119,
Crimson Pandaren Phoenix,Y,B,Challenge Mode - Silver,129552,
Armored Skyscreamer,Y,B,Glory of the Thundering Raider,136400,
Imperial Quilen,Y,B,Mists of Panderia Collector's Edition,124659,
Brown Ram,Y,A,Vendor Veron in Dun Morogh,6899,
Gray Ram,Y,A,Vendor Veron in Dun Morogh,6777,
White Ram,Y,A,Vendor Veron in Dun Morogh,6898,
Swift Violet Ram,Y,A,Argent Tournament Tokens,65643,
Swift Brewfest Ram,Y,B,Coren Direbrew - Brewfest,43900,
Swift Brown Ram,Y,A,Vendor Veron in Dun Morogh,23238,
Black War Ram,Y,A,Honor Vendor in Stormwind,22720,
Swift Purple Raptor,Y,H,Argent Tournament Tokens,65644,
Armored Razzashi Raptor,Y,B,Bloodlord Mandokir - Zul'Gurub (5man),96491,
Green Primal Raptor,Y,B,Primal Egg,138643,
Swift Gray Ram,Y,A,Vendor Veron in Dun Morogh,23239,
Stormpike Battle Charger,Y,A,Alterac Valley (faction),23510,
Swift White Ram,Y,A,Vendor Veron in Dun Morogh,23240,
Ironforge Ram,Y,A,Argent Tournament Tokens,63636,
Emerald Raptor,Y,H,Vendor Zjolnir in Durotar,8395,
Savage Raptor,Y,B,Trading Card Game,97581,
Turquoise Raptor,Y,H,Vendor Zjolnir in Durotar,10796,
Violet Raptor,Y,H,Vendor Zjolnir in Durotar,10799,
Venomhide Ravasaur,Y,H,Quests in Ungoro Crater,64659,
Swift Blue Raptor,Y,H,Vendor Zjolnir in Durotar,23241,
Black War Raptor,Y,H,Honor Vendor in Orgrimmar,22721,
Swift Orange Raptor,Y,H,Vendor Zjolnir in Durotar,23243,
Swift Olive Raptor,Y,H,Vendor Zjolnir in Durotar,23242,
Fossilized Raptor,Y,B,Archeology,84751,
Darkspear Raptor,Y,H,Argent Tournament Tokens,63635,
Black Primal Raptor,Y,B,Primal Egg,138642,
Red Primal Raptor,Y,B,Primal Egg,138641,
Bone-White Primal Raptor,Y,B,9999 Isle of Giants Dinosaur Bones,138640,
Blue Qiraji Battle Tank,y,B,Temple of AQ Trash drop,25953,
Green Qiraji Battle Tank,Y,B,Temple of AQ Trash drop,26056,
Red Qiraji Battle Tank,Y,B,Temple of AQ Trash drop,26054,
Yellow Qiraji Battle Tank,Y,B,Temple of AQ Trash drop,26055,
Ultramarine Qiraji Battle Tank,Y,B,Archeology Craft,92155,
Winged Steed of the Ebon Blade,Y,B,Vendor in Eastern Plaguelands,54729,Death Knight
Blue Skeletal Horse,Y,H,Vendor Zachariah in Tirisfal Glades,17463,
Black Skeletal Horse,Y,H,Vendor Zachariah in Tirisfal Glades,64977,
Red Skeletal Horse,Y,H,Vendor Zachariah in Tirisfal Glades,17462,
Brown Skeletal Horse,Y,H,Vendor Zachariah in Tirisfal Glades,17464,
Rivendare's Deathcharger,Y,B,Baron - Stratholme,17481,
Ochre Skeletal Warhorse,Y,H,Vendor Zachariah in Tirisfal Glades,66846,
Green Skeletal Warhorse,Y,H,Vendor Zachariah in Tirisfal Glades,17465,
Purple Skeletal Warhorse,Y,H,Vendor Zachariah in Tirisfal Glades,23246,
Red Skeletal Warhorse,Y,H,Honor Vendor in Orgrimmar,22722,
Forsaken Warhorse,Y,H,Argent Tournament Tokens,63643,
White Skeletal Warhorse,Y,H,Argent Tournament Tokens,65645,
Dark Riding Talbuk,Y,B,Halaa Tokens,39316,
Dark War Talbuk,Y,B,Halaa Tokens,34790,
Cobalt Riding Talbuk,Y,B,Kurenai/Mag'har Rep,39315,
Cobalt War Talbuk,Y,B,Kurenai/Mag'har Rep,34896,
Tan Riding Talbuk,Y,B,Kurenai/Mag'har Rep,39318,
Tan War Talbuk,Y,B,Kurenai/Mag'har Rep,34899,
Silver Riding Talbuk,Y,B,Kurenai/Mag'har Rep,39317,
Silver War Talbuk,Y,B,Kurenai/Mag'har Rep,34898,
White Riding Talbuk,Y,B,Kurenai/Mag'har Rep,39319,
White War Talbuk,Y,B,Kurenai/Mag'har Rep,34897,
Black Dragon Turtle,Y,B,Tushui/Huojin Rep,127286,
Blue Dragon Turtle,Y,B,Tushui/Huojin Rep,127287,
Brown Dragon Turtle,Y,B,Tushui/Huojin Rep,127288,
Green Dragon Turtle,Y,B,Tushui/Huojin Rep,120395,
Purple Dragon Turtle,Y,B,Tushui/Huojin Rep,127289,
Red Dragon Turtle,Y,B,Tushui/Huojin Rep,127290,
Great Black Dragon Turtle,Y,B,Tushui/Huojin Rep,127295,
Great Blue Dragon Turtle,Y,B,Tushui/Huojin Rep,127302,
Great Brown Dragon Turtle,Y,B,Tushui/Huojin Rep,127308,
Great Green Dragon Turtle,Y,B,Tushui/Huojin Rep,127293,
Great Purple Dragon Turtle,Y,B,Tushui/Huojin Rep,127310,
Great Red Dragon Turtle,Y,B,Tushui/Huojin Rep,120822,
Riding Turtle,Y,B,Trading Card Game,30174,
Sea Turtle,Y,B,Fished from pools,64731,
Subdued Seahorse,Y,B,Poseidus - Vash'jir,98718,
Abyssal Seahorse,Y,B,Quest in Vash'jir,75207,
Timber Wolf,Y,H,Vendor Ogunaru in Orgrimmar,580,
Black Wolf,Y,H,Vendor Ogunaru in Orgrimmar,64658,
Brown Wolf,Y,H,Vendor Ogunaru in Orgrimmar,6654,
Dire Wolf,Y,H,Vendor Ogunaru in Orgrimmar,6653,
Vicious War Wolf,Y,H,75 RBG Wins,100333,
Black War Wolf,Y,H,Honor Vendor in Orgrimmar,22724,
Frostwolf Howler,Y,H,Alterac Valley (faction),23509,
Swift Brown Wolf,Y,H,Vendor Ogunaru in Orgrimmar,23250,
Swift Burgundy Wolf,Y,H,Vendor Ogunaru in Orgrimmar,65646,
Swift Gray Wolf,Y,H,Vendor Ogunaru in Orgrimmar,23252,
Swift Timber Wolf,Y,H,Vendor Ogunaru in Orgrimmar,23251,
Orgrimmar Wolf,Y,H,Argent Tournament Tokens,63640,
Spectral Wolf,Y,H,Tol Barad Commendations,92232,
Spectral Wind Rider,Y,H,Scroll of Resurrection,107517,
Blue Wind Rider,Y,H,Horde Flying Mount Vendors,32244,
Tawny Wind Rider,Y,H,Horde Flying Mount Vendors,32243,
Green Wind Rider,Y,H,Horde Flying Mount Vendors,32245,
Armored Blue Wind Rider,Y,H,Mei Francis in Dalaran,61230,
Swift Green Wind Rider,Y,H,Horde Flying Mount Vendors,32295,
Swift Purple Wind Rider,Y,H,Horde Flying Mount Vendors,32297,
Swift Red Wind Rider,Y,H,Horde Flying Mount Vendors,32246,
Swift Yellow Wind Rider,Y,H,Horde Flying Mount Vendors,32296,
Grand Wyvern,Y,H,Dominance Offensive Questline,136164,
Grand Armored Wyvern,Y,H,Dominance Offensive (faction),135418,
Grand Expedition Yak,Y,B,Vendor Uncle Bigpocket in Kun-Lai,122708,
Grey Riding Yak,Y,B,Vendor Uncle Bigpocket in Kun-Lai,127216,
Blonde Riding Yak,Y,B,Vendor Uncle Bigpocket in Kun-Lai,127220,
X-53 Touring Rocket,N,B,Old Refer-a-Friend promotion mount,75973,
Brewfest Ram,N,B,Old Brewfest quests,43899,
Swift Zulian Tiger,N,B,Old Zul'Gurub mount,24252,
Crusader's Black Warhorse,N,H,Immortality - Trial of the Grand Crusader,68188,
Crusader's White Warhorse,N,A,Immortality - Trial of the Grand Crusader,68187,
Swift Alliance Steed,N,A,Trial of the Grand Crusader - Tribute Chest (H),68057,
Swift Zhevra,N,B,Old Refer-a-Friend Mount,49322,
Swift Razzashi Raptor,N,B,Old Zul'Gurub mount,24242,
Black Qiraji Battle Tank,N,B,Scarab Lord mount,26656,
Swift Horde Wolf,N,H,Trial of the Grand Crusader - Tribute Chest (H),68056,
Amani War Bear,N,B,Old Zul'Aman timed run,43688,
Black Proto-Drake,N,B,Glory of the Raider (25),59976,
Plagued Proto-Drake,Y,B,Glory of the Raider (10),60021,
Brutal Nether Drake,N,B,Arena Season 4,58615,
Deadly Gladiator's Frost Wyrm,N,B,Arena Season 5,64297,
Furious Gladiator's Frost Wyrm,N,B,Arena Season 6,65439,
Merciless Nether Drake,N,B,Arena Season 2,44744,
Relentless Gladiator's Frost Wyrm,N,B,Arena Season 7,67336,
Ruthless Gladiator's Twilight Drake,N,B,Arena Season 10,101821,
Swift Nether Drake,N,B,Arena Season 1,37015,
Vengeful Nether Drake,N,B,Arena Season 3,49193,
Vicious Gladiator's Twilight Drake,N,B,Arena Season 9,101282,
Wrathful Gladiator's Frost Wyrm,N,B,Arena Season 8,71810,
Cataclysmic Gladiator's Twilight Drake,N,B,Arena Season 11,124550,
Ancient Frostsaber,N,A,Old epic mount (removed in 1.4),16056,
Black Nightsaber,N,A,Old epic mount (removed in 1.4),16055,
Palomino,N,A,Old epic mount (removed in 1.4),16082,
White Stallion,N,A,Old epic mount (removed in 1.4),16083,
Green Kodo,N,H,Old epic mount (removed in 1.4),18991,
Teal Kodo,N,H,Old epic mount (removed in 1.4),18992,
Icy Blue Mechano Strider Mod A,N,A,Old epic mount (removed in 1.4),17459,
White Mechanostrider Mod B,N,A,Old epic mount (removed in 1.4),15779,
Black Ram,N,A,Old epic mount (removed in 1.4),17461,
Frost Ram,N,A,Old epic mount (removed in 1.4),17460,
Ivory Raptor,N,H,Old epic mount (removed in 1.4),17450,
Mottled Red Raptor,N,H,Old epic mount (removed in 1.4),16084,
Red Wolf,N,H,Old epic mount (removed in 1.4),16080,
Winter Wolf,N,H,Old epic mount (removed in 1.4),16081,
